category,title,pdf_url,source_url,date
Câmara Municipal / Atas,Ata Número 06/2024 de 15 de fevereiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_06_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 05/2024 de 08 de fevereiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_05_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 04/2024 de 01 de fevereiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_04_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 03/2024 de 25 de janeiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_03_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 02/2024 de 18 de janeiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_02_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 01/2024 de 11 de janeiro de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ata_01_2024.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 49/2023 de 28 de dezembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_49_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 48/2023 de 21 de dezembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_48_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 47/2023 de 14 de dezembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_47_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 46/2023 de 07 de dezembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_46_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 45/2023 de 30 de novembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_45_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 44/2023 de 23 de novembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_44_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 43/2023 de 16 de novembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_43_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 42/2023 de 09 de novembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_42_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 41/2023 de 02 de novembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_41_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 40/2023 de 26 de outubro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_40_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 39/2023 de 19 de outubro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_39_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 38/2023 de 12 de outubro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_38_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 37/2023 de 04 de outubro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_37_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 36/2023 de 28 de setembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2023_09_28.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 35/2023 de 21 de setembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_35_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 34/2023 de 14 de setembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_34_2023.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 33/2023 de 7 de setembro de 2023,https://cmfdoc.funchal.pt/media/k2/attachments/ata_33_2023_1695026135.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
